trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.9, 'e': 0.8487420218802068}",25,0,-129.92069367430184,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
82,False,"{'a': 0.9, 'e': 0.8470462341893996}",25,0,-29.394600725658442,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.9, 'e': 0.8453538346846587}",20,0,-103.5280171318058,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.9, 'e': 0.8436648165963837}",30,0,-195.6297447646011,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
85,False,"{'a': 0.9, 'e': 0.8419791731684999}",20,0,-25.075993501647904,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.9, 'e': 0.8402968976584314}",25,0,-143.96809310524287,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
87,False,"{'a': 0.9, 'e': 0.838617983337074}",25,0,-153.38151332817944,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 3}",0
88,False,"{'a': 0.9, 'e': 0.8369424234887681}",20,0,-68.6007289435789,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.9, 'e': 0.835270211411272}",20,0,-75.48718500222724,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
90,False,"{'a': 0.9, 'e': 0.8336013404157353}",25,0,-10.100088518037236,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.9, 'e': 0.8319358038266718}",25,0,-135.19839496021564,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
92,False,"{'a': 0.9, 'e': 0.8302735949819326}",20,0,-30.209166478607294,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.9, 'e': 0.8286147072326806}",20,0,-76.73273956149521,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
94,False,"{'a': 0.9, 'e': 0.8269591339433623}",20,0,-126.33934174942459,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
95,False,"{'a': 0.9, 'e': 0.8253068684916823}",20,0,-122.53607186108368,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
96,False,"{'a': 0.9, 'e': 0.8236579042685769}",35,21,-8.907328945111024,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.9, 'e': 0.8220122346781865}",25,1,-103.82991028272676,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 1}",1
98,False,"{'a': 0.9, 'e': 0.8203698531378311}",25,0,-27.476780475619044,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.9, 'e': 0.8187307530779818}",20,0,-117.63898092705561,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
100,False,"{'a': 0.9, 'e': 0.8170949279422366}",20,0,-30.588906041998627,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.9, 'e': 0.8154623711872927}",25,8,-115.62992899400771,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
102,False,"{'a': 0.9, 'e': 0.8138330762829207}",20,0,-115.10128660720206,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
103,False,"{'a': 0.9, 'e': 0.812207036711939}",25,0,-305.08689038558435,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 5}",0
104,False,"{'a': 0.9, 'e': 0.8105842459701871}",20,0,-35.66438451373141,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.9, 'e': 0.8089646975664998}",20,0,-67.67498957526436,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
106,False,"{'a': 0.9, 'e': 0.8073483850226815}",25,0,-42.361289523001744,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
107,False,"{'a': 0.9, 'e': 0.8057353018734796}",25,0,-122.66396866462671,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
108,False,"{'a': 0.9, 'e': 0.8041254416665596}",20,0,-100.10494214764155,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
109,False,"{'a': 0.9, 'e': 0.8025187979624785}",35,0,-189.75849257999576,"{0: 17, 1: 4, 2: 11, 3: 2, 4: 1}",0
110,False,"{'a': 0.9, 'e': 0.8009153643346592}",20,5,-66.61847998771833,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
111,False,"{'a': 0.9, 'e': 0.7993151343693651}",20,10,15.306512423350135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.7977181016656743}",25,0,-27.96637604908052,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.9, 'e': 0.7961242598354538}",20,0,-103.56260910489542,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
114,False,"{'a': 0.9, 'e': 0.794533602503334}",25,0,-42.23737791521718,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
115,False,"{'a': 0.9, 'e': 0.7929461233066837}",25,0,-14.013382712613403,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
116,False,"{'a': 0.9, 'e': 0.7913618158955839}",20,0,-44.88995357996312,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.9, 'e': 0.7897806739328027}",20,0,-46.403599699024774,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.9, 'e': 0.7882026910937704}",25,0,-66.3757030157788,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.9, 'e': 0.7866278610665535}",25,0,-76.7497389561896,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.9, 'e': 0.7850561775518295}",30,0,-169.1425442204429,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
121,False,"{'a': 0.9, 'e': 0.7834876342628625}",20,0,-62.69312669146222,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
122,False,"{'a': 0.9, 'e': 0.7819222249254772}",30,0,-68.95836741072063,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
123,False,"{'a': 0.9, 'e': 0.7803599432780343}",35,0,-189.80152657677803,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
124,False,"{'a': 0.9, 'e': 0.7788007830714049}",20,0,-39.248460636448534,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.9, 'e': 0.7772447380689461}",25,0,-23.810398026868075,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.9, 'e': 0.775691802046476}",30,0,-110.2044449424065,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
127,False,"{'a': 0.9, 'e': 0.7741419687922484}",35,0,-127.00933280477223,"{0: 20, 1: 5, 2: 9, 3: 0, 4: 1}",0
128,False,"{'a': 0.9, 'e': 0.772595232106928}",25,2,-42.48538346271848,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.7710515858035663}",20,0,-62.998130379968764,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.9, 'e': 0.7695110237075758}",25,0,-124.48254954653862,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
131,False,"{'a': 0.9, 'e': 0.7679735396567061}",25,0,-105.88767382460209,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
132,False,"{'a': 0.9, 'e': 0.7664391275010192}",20,0,-49.195201348993336,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
133,False,"{'a': 0.9, 'e': 0.764907781102864}",20,0,-74.46252429618445,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
134,False,"{'a': 0.9, 'e': 0.7633794943368531}",25,0,-164.6331037807354,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
135,False,"{'a': 0.9, 'e': 0.7618542610898376}",30,0,-104.30630114256822,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
136,False,"{'a': 0.9, 'e': 0.7603320752608821}",30,0,-70.14256212877295,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
137,False,"{'a': 0.9, 'e': 0.7588129307612413}",20,0,-17.186228495363903,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
138,False,"{'a': 0.9, 'e': 0.7572968215143355}",20,0,-55.96395384694432,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
