trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.7, 'e': 0.7913618158955839}",25,0,-182.32897895789057,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
117,False,"{'a': 0.7, 'e': 0.7897806739328027}",20,0,-74.40471339282189,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.7, 'e': 0.7882026910937704}",20,0,-63.09326896543357,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
119,False,"{'a': 0.7, 'e': 0.7866278610665535}",25,0,-149.69051430205792,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
120,False,"{'a': 0.7, 'e': 0.7850561775518295}",30,2,-130.45292565630285,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 2}",1
121,False,"{'a': 0.7, 'e': 0.7834876342628625}",25,0,-57.51359411628237,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
122,False,"{'a': 0.7, 'e': 0.7819222249254772}",25,0,-85.1624386374412,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
123,False,"{'a': 0.7, 'e': 0.7803599432780343}",25,0,-159.5451273271083,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",1
124,False,"{'a': 0.7, 'e': 0.7788007830714049}",20,11,-47.7814141523037,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.7, 'e': 0.7772447380689461}",20,0,-175.71028448562865,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
126,False,"{'a': 0.7, 'e': 0.775691802046476}",25,0,-150.5105408405083,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
127,False,"{'a': 0.7, 'e': 0.7741419687922484}",20,0,-46.085263877551476,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
128,False,"{'a': 0.7, 'e': 0.772595232106928}",25,0,-84.30925585717037,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
129,False,"{'a': 0.7, 'e': 0.7710515858035663}",35,0,-92.13751341446209,"{0: 27, 1: 2, 2: 3, 3: 2, 4: 1}",0
130,False,"{'a': 0.7, 'e': 0.7695110237075758}",20,0,-93.93587627391403,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
131,False,"{'a': 0.7, 'e': 0.7679735396567061}",20,0,-32.309858832679815,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
132,False,"{'a': 0.7, 'e': 0.7664391275010192}",25,16,-24.508460005958884,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.7, 'e': 0.764907781102864}",20,0,-116.46331235128021,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
134,False,"{'a': 0.7, 'e': 0.7633794943368531}",20,0,-158.13983191994302,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
135,False,"{'a': 0.7, 'e': 0.7618542610898376}",25,0,-131.85798722957384,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
136,False,"{'a': 0.7, 'e': 0.7603320752608821}",20,10,-26.231414707839907,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.7, 'e': 0.7588129307612413}",20,0,-66.49930972514457,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
